iter	Passed	Remaining
158	1157	6121
159	1169	6137
160	1178	6140
161	1183	6123
162	1192	6122
163	1205	6145
164	1212	6134
165	1225	6158
166	1242	6198
167	1255	6216
168	1263	6213
169	1269	6199
170	1273	6174
171	1284	6184
172	1290	6169
173	1300	6171
174	1307	6162
175	1311	6139
176	1317	6126
177	1319	6093
178	1321	6062
179	1333	6073
180	1345	6088
181	1355	6092
182	1360	6073
183	1364	6053
184	1375	6059
185	1384	6060
186	1396	6071
187	1406	6076
188	1415	6074
189	1424	6074
190	1437	6088
191	1440	6061
192	1443	6034
193	1452	6035
194	1456	6013
195	1468	6022
196	1478	6027
197	1484	6014
198	1490	5998
199	1496	5986
200	1509	6000
201	1518	5999
202	1528	6001
203	1531	5976
204	1540	5975
205	1546	5960
206	1556	5961
207	1559	5939
208	1570	5943
209	1579	5941
210	1594	5962
211	1595	5931
212	1598	5906
213	1610	5913
214	1619	5913
215	1625	5901
216	1642	5925
217	1646	5905
218	1656	5906
219	1663	5897
220	1667	5877
221	1678	5882
222	1686	5875
223	1696	5878
224	1710	5893
225	1715	5875
226	1726	5877
227	1730	5860
228	1736	5847
229	1739	5824
230	1745	5811
231	1756	5814
232	1769	5824
233	1777	5818
234	1790	5829
235	1794	5810
236	1797	5786
237	1807	5787
238	1816	5782
239	1820	5763
240	1824	5746
241	1828	5726
242	1839	5729
243	1841	5704
244	1850	5702
245	1857	5694
246	1863	5681
247	1870	5671
248	1872	5646
249	1875	5625
250	1878	5604
251	1883	5591
252	1890	5583
253	1895	5567
254	1897	5544
255	1901	5525
256	1911	5524
257	1936	5570
258	1949	5576
259	1957	5571
260	1963	5558
261	1965	5535
262	1967	5512
263	1970	5492
264	1975	5479
265	1978	5460
266	1984	5449
267	1993	5444
268	1996	5424
269	1998	5402
270	2002	5386
271	2004	5364
272	2006	5343
273	2009	5325
274	2016	5315
275	2029	5323
276	2032	5305
277	2042	5305
278	2056	5315
279	2063	5304
280	2065	5284
281	2076	5287
282	2084	5281
283	2092	5275
284	2094	5253
285	2099	5240
286	2110	5244
287	2121	5244
288	2128	5236
289	2132	5221
290	2135	5202
291	2143	5196
292	2152	5193
293	2158	5182
294	2163	5170
295	2167	5154
296	2171	5139
297	2175	5123
298	2179	5109
299	2189	5109
300	2197	5104
301	2201	5088
302	2208	5080
303	2210	5061
304	2219	5058
305	2223	5043
306	2231	5037
307	2236	5024
308	2247	5025
309	2254	5018
310	2261	5010
311	2276	5019
312	2287	5021
313	2291	5006
314	2297	4996
315	2301	4982
316	2312	4981
317	2324	4986
318	2327	4969
319	2333	4958
320	2335	4939
321	2336	4919
322	2337	4900
323	2344	4891
324	2346	4873
325	2359	4878
326	2364	4865
327	2367	4850
328	2375	4844
329	2377	4827
330	2388	4827
331	2398	4825
332	2405	4818
333	2420	4826
334	2428	4820
335	2432	4807
336	2440	4801
337	2446	4792
338	2462	4801
339	2472	4798
340	2477	4787
341	2485	4782
342	2490	4769
343	2493	4754
344	2499	4744
345	2507	4738
346	2515	4734
347	2524	4729
348	2526	4712
349	2540	4717
350	2542	4700
351	2572	4736
352	2583	4735
353	2587	4721
354	2594	4714
355	2602	4707
356	2606	4694
357	2609	4679
358	2611	4662
359	2614	4647
360	2617	4633
361	2620	4618
362	2622	4601
363	2636	4606
364	2649	4609
365	2659	4606
366	2663	4594
367	2666	4579
368	2675	4574
369	2694	4587
370	2698	4574
371	2702	4562
372	2706	4549
373	2712	4540
374	2732	4554
375	2746	4557
376	2750	4545
377	2757	4538
378	2765	4530
379	2776	4529
380	2785	4525
381	2787	4510
382	2789	4493
383	2792	4479
384	2803	4478
385	2810	4470
386	2815	4459
387	2829	4462
388	2838	4459
389	2847	4454
390	2850	4440
391	2860	4436
392	2862	4420
393	2865	4407
394	2883	4417
395	2888	4405
396	2889	4389
397	2894	4377
398	2901	4370
399	2925	4388
400	2928	4374
401	2938	4370
402	2944	4361
403	2954	4358
404	2960	4349
405	2963	4335
406	2966	4322
407	2970	4309
408	2971	4293
409	2985	4296
410	2990	4285
411	2997	4278
412	3004	4270
413	3010	4261
414	3013	4247
415	3017	4236
416	3020	4223
417	3024	4210
418	3033	4207
419	3037	4194
420	3039	4180
421	3042	4167
422	3051	4162
423	3064	4162
424	3067	4149
425	3071	4138
426	3076	4128
427	3083	4120
428	3086	4107
429	3090	4097
430	3099	4092
431	3104	4081
432	3111	4073
433	3113	4060
434	3124	4058
435	3134	4054
436	3140	4045
437	3145	4036
438	3149	4025
439	3159	4021
440	3174	4023
441	3180	4015
442	3187	4008
443	3192	3998
444	3196	3986
445	3202	3978
446	3212	3974
447	3215	3961
448	3216	3947
449	3218	3933
450	3223	3923
451	3226	3911
452	3233	3904
453	3240	3897
454	3247	3889
455	3251	3878
456	3254	3866
457	3264	3863
458	3277	3862
459	3286	3858
460	3290	3846
461	3296	3838
462	3300	3828
463	3309	3823
464	3312	3811
465	3316	3799
466	3321	3791
467	3327	3782
468	3332	3773
469	3344	3771
470	3346	3759
471	3355	3753
472	3357	3740
473	3359	3728
474	3361	3715
475	3364	3703
476	3367	3692
477	3370	3680
478	3376	3672
479	3382	3664
480	3383	3650
481	3389	3642
482	3392	3631
483	3394	3618
484	3403	3613
485	3405	3601
486	3407	3589
487	3415	3583
488	3424	3578
489	3426	3566
490	3429	3555
491	3441	3553
492	3451	3549
493	3465	3549
494	3469	3539
495	3480	3536
496	3490	3532
497	3492	3520
498	3497	3511
499	3504	3504
500	3509	3495
501	3517	3489
502	3531	3489
503	3549	3493
504	3554	3483
505	3556	3472
506	3565	3467
507	3568	3456
508	3575	3449
509	3599	3458
510	3609	3454
511	3613	3444
512	3617	3434
513	3630	3433
514	3640	3428
515	3648	3421
516	3653	3412
517	3658	3404
518	3661	3393
519	3668	3385
520	3671	3375
521	3678	3368
522	3681	3357
523	3691	3353
524	3695	3343
525	3702	3336
526	3705	3326
527	3709	3315
528	3718	3310
529	3724	3302
530	3734	3298
531	3740	3290
532	3743	3279
533	3752	3274
534	3766	3273
535	3775	3268
536	3782	3261
537	3783	3249
538	3785	3238
539	3796	3233
540	3806	3229
541	3810	3219
542	3813	3209
543	3818	3200
544	3822	3191
545	3826	3181
546	3827	3170
547	3830	3159
548	3838	3153
549	3840	3142
550	3845	3133
551	3850	3125
552	3853	3114
553	3856	3105
554	3861	3096
555	3870	3091
556	3877	3084
557	3881	3074
558	3886	3065
559	3916	3077
560	3918	3066
561	3922	3057
562	3925	3046
563	3934	3041
564	3937	3031
565	3946	3026
566	3953	3019
567	3961	3012
568	3968	3006
569	3971	2995
570	3974	2986
571	3978	2977
572	3984	2969
573	3998	2967
574	4000	2956
575	4003	2946
576	4007	2938
577	4013	2930
578	4019	2922
579	4022	2912
580	4030	2906
581	4044	2904
582	4050	2897
583	4057	2890
584	4063	2882
585	4073	2878
586	4076	2868
587	4087	2864
588	4092	2855
589	4101	2850
590	4110	2844
591	4115	2836
592	4122	2829
593	4134	2826
594	4147	2823
595	4155	2816
596	4164	2811
597	4177	2808
598	4185	2801
599	4189	2792
600	4192	2783
601	4202	2778
602	4204	2767
603	4208	2759
604	4227	2759
605	4234	2752
606	4239	2744
607	4244	2736
608	4257	2733
609	4269	2729
610	4279	2724
611	4282	2715
612	4290	2708
613	4302	2704
614	4313	2700
615	4324	2695
616	4333	2689
617	4340	2682
618	4350	2677
619	4354	2668
620	4356	2659
621	4359	2649
622	4368	2643
623	4372	2634
624	4382	2629
625	4394	2625
626	4406	2621
627	4416	2616
628	4429	2612
629	4435	2604
630	4441	2597
631	4451	2592
632	4460	2586
633	4463	2576
634	4477	2573
635	4489	2569
636	4500	2564
637	4503	2555
638	4510	2548
639	4524	2544
640	4535	2539
641	4544	2534
642	4547	2524
643	4552	2516
644	4589	2526
645	4596	2518
646	4603	2511
647	4614	2506
648	4655	2517
649	4659	2509
650	4667	2501
651	4670	2492
652	4680	2487
653	4687	2479
654	4688	2469
655	4707	2468
656	4715	2461
657	4717	2451
658	4720	2442
659	4721	2432
660	4724	2423
661	4727	2413
662	4733	2406
663	4737	2397
664	4740	2387
665	4743	2378
666	4750	2371
667	4766	2368
668	4774	2362
669	4783	2356
670	4788	2347
671	4799	2342
672	4803	2333
673	4813	2328
674	4821	2321
675	4827	2313
676	4829	2304
677	4839	2298
678	4842	2289
679	4859	2286
680	4906	2298
681	4913	2291
682	4921	2284
683	4924	2275
684	4927	2266
685	4937	2259
686	4939	2250
687	4944	2242
688	4947	2233
689	4960	2228
690	4967	2221
691	4969	2211
692	4971	2202
693	4976	2194
694	4978	2184
695	4988	2179
696	4999	2173
697	5001	2163
698	5004	2155
699	5007	2146
700	5030	2145
701	5032	2136
702	5040	2129
703	5042	2120
704	5048	2112
705	5052	2103
706	5058	2096
707	5061	2087
708	5063	2078
709	5070	2070
710	5073	2062
711	5076	2053
712	5089	2048
713	5098	2042
714	5104	2034
715	5112	2027
716	5116	2019
717	5127	2013
718	5142	2009
719	5156	2005
720	5167	1999
721	5169	1990
722	5177	1983
723	5180	1974
724	5183	1966
725	5198	1962
726	5206	1954
727	5208	1945
728	5220	1940
729	5228	1933
730	5236	1926
731	5242	1919
732	5254	1914
733	5264	1907
734	5277	1902
735	5283	1895
736	5290	1887
737	5299	1881
738	5302	1872
739	5310	1865
740	5324	1861
741	5333	1854
742	5341	1847
743	5346	1839
744	5360	1834
745	5363	1826
746	5372	1819
747	5374	1810
748	5376	1801
749	5379	1793
750	5386	1785
751	5396	1779
752	5403	1772
753	5405	1763
754	5412	1756
755	5422	1750
756	5430	1743
757	5433	1734
758	5454	1732
759	5462	1725
760	5466	1716
761	5477	1710
762	5492	1705
763	5497	1698
764	5506	1691
765	5516	1685
766	5523	1678
767	5559	1679
768	5562	1671
769	5570	1663
770	5573	1655
771	5586	1649
772	5595	1643
773	5612	1638
774	5628	1634
775	5631	1625
776	5633	1616
777	5639	1609
778	5649	1602
779	5653	1594
780	5660	1587
781	5662	1578
782	5665	1570
783	5675	1563
784	5716	1565
785	5722	1558
786	5736	1552
787	5744	1545
788	5746	1536
789	5760	1531
790	5771	1524
791	5780	1518
792	5788	1510
793	5797	1504
794	5806	1497
795	5810	1489
796	5823	1483
797	5826	1474
798	5827	1466
799	5831	1457
800	5837	1450
801	5845	1443
802	5860	1437
803	5869	1430
804	5872	1422
805	5878	1414
806	5896	1410
807	5898	1401
808	5907	1394
809	5915	1387
810	5931	1382
811	5933	1373
812	5934	1365
813	5940	1357
814	5948	1350
815	5958	1343
816	5962	1335
817	5964	1327
818	5976	1320
819	5984	1313
820	5987	1305
821	5994	1298
822	5998	1289
823	6007	1283
824	6019	1276
825	6030	1270
826	6032	1261
827	6042	1255
828	6054	1248
829	6058	1240
830	6071	1234
831	6075	1226
832	6077	1218
833	6083	1210
834	6087	1202
835	6090	1194
836	6099	1187
837	6112	1181
838	6115	1173
839	6126	1167
840	6129	1158
841	6144	1153
842	6146	1144
843	6166	1139
844	6172	1132
845	6191	1127
846	6208	1121
847	6212	1113
848	6221	1106
849	6243	1101
850	6245	1093
851	6265	1088
852	6268	1080
853	6277	1073
854	6292	1067
855	6307	1061
856	6314	1053
857	6325	1046
858	6332	1039
859	6341	1032
860	6348	1024
861	6359	1018
862	6369	1011
863	6379	1004
864	6390	997
865	6400	990
866	6407	982
867	6410	974
868	6417	967
869	6420	959
870	6427	951
871	6434	944
872	6446	937
873	6455	930
874	6465	923
875	6471	916
876	6479	908
877	6494	902
878	6505	895
879	6508	887
880	6521	880
881	6531	873
882	6535	865
883	6542	858
884	6559	852
885	6579	846
886	6581	838
887	6583	830
888	6591	822
889	6604	816
890	6612	808
891	6622	801
892	6630	794
893	6634	786
894	6637	778
895	6650	771
896	6657	764
897	6671	757
898	6678	750
899	6696	744
900	6716	737
901	6734	731
902	6746	724
903	6753	717
904	6766	710
905	6784	703
906	6795	696
907	6804	689
908	6807	681
909	6813	673
910	6834	667
911	6852	661
912	6934	660
913	6936	652
914	6948	645
915	6966	638
916	6972	631
917	6974	623
918	6984	615
919	6995	608
920	7005	600
921	7011	593
922	7019	585
923	7026	577
924	7045	571
925	7049	563
926	7066	556
927	7083	549
928	7090	541
929	7093	533
930	7107	526
931	7120	519
932	7123	511
933	7133	504
934	7148	496
935	7159	489
936	7175	482
937	7187	475
938	7201	467
939	7227	461
940	7240	453
941	7254	446
942	7273	439
943	7286	432
944	7299	424
945	7313	417
946	7322	409
947	7331	402
948	7348	394
949	7354	387
950	7358	379
951	7364	371
952	7370	363
953	7387	356
954	7393	348
955	7399	340
956	7404	332
957	7408	324
958	7417	317
959	7426	309
960	7439	301
961	7443	294
962	7446	286
963	7448	278
964	7462	270
965	7477	263
966	7486	255
967	7501	247
968	7518	240
969	7522	232
970	7525	224
971	7530	216
972	7539	209
973	7543	201
974	7558	193
975	7569	186
976	7571	178
977	7574	170
978	7615	163
979	7622	155
980	7629	147
981	7638	140
982	7648	132
983	7660	124
984	7666	116
985	7674	108
986	7687	101
987	7695	93
988	7729	85
989	7737	78
990	7753	70
991	7762	62
992	7775	54
993	7781	46
994	7801	39
995	7807	31
996	7820	23
997	7823	15
998	7834	7
999	7847	0
